Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-08-31,83.54,85.16,83.31,83.93,33154128.0,0.0,1.0,83.54,85.16,83.31,83.93,33154128.0
2017-08-30,81.73,83.28,81.66,83.19,1717148.0,0.0,1.0,81.73,83.28,81.66,83.19,1717148.0
2017-08-29,82.51,82.6,82.1,82.24,1827509.0,0.0,1.0,82.51,82.6,82.1,82.24,1827509.0
2017-08-28,82.86,83.04,82.33,82.88,1364129.0,0.0,1.0,82.86,83.04,82.33,82.88,1364129.0
2017-08-25,82.68,82.92,82.33,82.66,1440374.0,0.0,1.0,82.68,82.92,82.33,82.66,1440374.0
2017-08-24,82.84,82.9216,82.35,82.39,2029016.0,0.0,1.0,82.84,82.9216,82.35,82.39,2029016.0
2017-08-23,82.82,83.47,82.595,82.76,2594426.0,0.0,1.0,82.82,83.47,82.595,82.76,2594426.0
2017-08-22,82.15,83.16,82.01,83.01,1644388.0,0.0,1.0,82.15,83.16,82.01,83.01,1644388.0
2017-08-21,81.33,81.92,80.87,81.83,1650696.0,0.0,1.0,81.33,81.92,80.87,81.83,1650696.0
2017-08-18,80.76,81.42,80.48,81.18,1940821.0,0.0,1.0,80.76,81.42,80.48,81.18,1940821.0
2017-08-17,81.68,81.95,80.86,80.86,3318969.0,0.0,1.0,81.68,81.95,80.86,80.86,3318969.0
2017-08-16,81.75,82.03,81.4,82.01,2397065.0,0.0,1.0,81.75,82.03,81.4,82.01,2397065.0
2017-08-15,81.21,81.66,81.01,81.58,1902623.0,0.0,1.0,81.21,81.66,81.01,81.58,1902623.0
2017-08-14,81.29,81.79,81.0,81.15,1596349.0,0.0,1.0,81.29,81.79,81.0,81.15,1596349.0
2017-08-11,81.04,81.25,80.6917,80.97,1943988.0,0.0,1.0,81.04,81.25,80.6917,80.97,1943988.0
2017-08-10,81.03,81.19,80.1,80.81,2408468.0,0.0,1.0,81.03,81.19,80.1,80.81,2408468.0
2017-08-09,81.2,81.62,80.93,81.33,1515707.0,0.0,1.0,81.2,81.62,80.93,81.33,1515707.0
2017-08-08,81.59,81.95,80.93,81.12,1559641.0,0.0,1.0,81.59,81.95,80.93,81.12,1559641.0
2017-08-07,81.95,82.23,81.47,81.79,1589302.0,0.0,1.0,81.95,82.23,81.47,81.79,1589302.0
2017-08-04,81.5,82.13,81.39,82.01,2237451.0,0.0,1.0,81.5,82.13,81.39,82.01,2237451.0
2017-08-03,82.36,82.6,81.02,81.33,1896010.0,0.0,1.0,82.36,82.6,81.02,81.33,1896010.0
2017-08-02,82.23,82.54,81.77,82.32,1490306.0,0.0,1.0,82.23,82.54,81.77,82.32,1490306.0
2017-08-01,82.6,82.84,81.95,82.66,3298571.0,0.0,1.0,82.6,82.84,81.95,82.66,3298571.0
2017-07-31,84.25,84.33,82.21,82.21,2166422.0,0.0,1.0,84.25,84.33,82.21,82.21,2166422.0
2017-07-28,84.98,85.5,83.37,83.98,2349859.0,0.0,1.0,84.98,85.5,83.37,83.98,2349859.0
2017-07-27,85.16,85.98,84.02,84.59,2190615.0,0.38,1.0,85.16,85.98,84.02,84.59,2190615.0
2017-07-26,85.14,85.35,84.2,84.81,1488926.0,0.0,1.0,84.75923973167,84.968300576674,83.823443568318,84.430715546664,1488926.0
2017-07-25,85.8,86.36,85.12,85.49,2195271.0,0.0,1.0,85.416288101683,85.973783688361,84.739329175003,85.107674473344,2195271.0
2017-07-24,84.49,85.15,84.11,84.35,1815010.0,0.0,1.0,84.112146639991,84.769195010004,83.733846063316,83.972772743321,1815010.0
