Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,66.02,66.32,64.12,64.5,786700.0,0.0,1.0,66.02,66.32,64.12,64.5,786700.0
2018-03-26,65.87,66.16,64.46,65.63,913080.0,0.0,1.0,65.87,66.16,64.46,65.63,913080.0
2018-03-23,65.73,66.37,64.96,65.02,823886.0,0.0,1.0,65.73,66.37,64.96,65.02,823886.0
2018-03-22,66.9,67.2,65.95,65.98,585021.0,0.0,1.0,66.9,67.2,65.95,65.98,585021.0
2018-03-21,67.6,68.12,67.3,67.55,730644.0,0.0,1.0,67.6,68.12,67.3,67.55,730644.0
2018-03-20,67.28,67.85,67.08,67.58,628065.0,0.0,1.0,67.28,67.85,67.08,67.58,628065.0
2018-03-19,67.59,67.7,66.31,67.15,770169.0,0.0,1.0,67.59,67.7,66.31,67.15,770169.0
2018-03-16,68.06,68.27,67.3,67.71,1517017.0,0.0,1.0,68.06,68.27,67.3,67.71,1517017.0
2018-03-15,68.51,68.82,67.73,68.02,639342.0,0.0,1.0,68.51,68.82,67.73,68.02,639342.0
2018-03-14,69.35,69.445,68.37,68.53,892050.0,0.0,1.0,69.35,69.445,68.37,68.53,892050.0
2018-03-13,69.78,70.11,69.0564,69.3,2388026.0,0.0,1.0,69.78,70.11,69.0564,69.3,2388026.0
2018-03-12,69.78,69.96,68.69,69.34,1101234.0,0.0,1.0,69.78,69.96,68.69,69.34,1101234.0
2018-03-09,68.34,69.51,68.31,69.42,1253738.0,0.0,1.0,68.34,69.51,68.31,69.42,1253738.0
2018-03-08,66.98,68.11,66.87,67.91,1563639.0,0.0,1.0,66.98,68.11,66.87,67.91,1563639.0
2018-03-07,65.78,66.72,65.57,66.64,939641.0,0.0,1.0,65.78,66.72,65.57,66.64,939641.0
2018-03-06,66.24,66.71,65.44,66.2,637968.0,0.0,1.0,66.24,66.71,65.44,66.2,637968.0
2018-03-05,64.79,66.21,64.63,65.93,1024864.0,0.0,1.0,64.79,66.21,64.63,65.93,1024864.0
2018-03-02,63.22,65.115,62.98,65.0,670746.0,0.0,1.0,63.22,65.115,62.98,65.0,670746.0
2018-03-01,64.55,65.2805,63.05,63.76,1156210.0,0.0,1.0,64.55,65.2805,63.05,63.76,1156210.0
2018-02-28,65.51,65.5922,63.31,63.31,1971812.0,0.0,1.0,65.51,65.5922,63.31,63.31,1971812.0
2018-02-27,66.37,66.56,65.22,65.22,1260811.0,0.0,1.0,66.37,66.56,65.22,65.22,1260811.0
2018-02-26,66.22,67.02,65.64,66.4,960359.0,0.0,1.0,66.22,67.02,65.64,66.4,960359.0
2018-02-23,66.32,66.89,65.73,65.83,845039.0,0.0,1.0,66.32,66.89,65.73,65.83,845039.0
2018-02-22,65.87,66.29,63.13,65.75,1392838.0,0.0,1.0,65.87,66.29,63.13,65.75,1392838.0
2018-02-21,66.16,66.21,65.21,65.21,1736794.0,0.0,1.0,66.16,66.21,65.21,65.21,1736794.0
2018-02-20,66.14,66.95,65.87,66.23,820770.0,0.0,1.0,66.14,66.95,65.87,66.23,820770.0
2018-02-16,66.0,66.85,65.76,66.42,718002.0,0.0,1.0,66.0,66.85,65.76,66.42,718002.0
2018-02-15,66.15,66.2,65.44,66.08,796020.0,0.0,1.0,66.15,66.2,65.44,66.08,796020.0
2018-02-14,64.38,65.84,64.36,65.73,585078.0,0.0,1.0,64.38,65.84,64.36,65.73,585078.0
2018-02-13,64.08,64.67,63.5731,64.62,380243.0,0.0,1.0,64.08,64.67,63.5731,64.62,380243.0
2018-02-12,63.18,64.72,63.17,64.34,777787.0,0.0,1.0,63.18,64.72,63.17,64.34,777787.0
2018-02-09,63.08,63.3,60.9,62.62,843076.0,0.0,1.0,63.08,63.3,60.9,62.62,843076.0
2018-02-08,64.4,64.82,62.5,62.56,1438856.0,0.0,1.0,64.4,64.82,62.5,62.56,1438856.0
2018-02-07,61.96,64.55,61.7,64.3,1061804.0,0.0,1.0,61.96,64.55,61.7,64.3,1061804.0
2018-02-06,62.31,62.86,60.91,61.97,1184193.0,0.0,1.0,62.31,62.86,60.91,61.97,1184193.0
2018-02-05,65.62,65.82,62.96,63.13,1037416.0,0.0,1.0,65.62,65.82,62.96,63.13,1037416.0
2018-02-02,67.39,67.67,66.22,66.23,417627.0,0.0,1.0,67.39,67.67,66.22,66.23,417627.0
2018-02-01,66.41,68.25,66.3,67.95,717621.0,0.0,1.0,66.41,68.25,66.3,67.95,717621.0
2018-01-31,66.99,67.79,66.47,66.6,740851.0,0.0,1.0,66.99,67.79,66.47,66.6,740851.0
2018-01-30,67.18,67.5539,66.66,66.68,674888.0,0.0,1.0,67.18,67.5539,66.66,66.68,674888.0
2018-01-29,66.32,67.79,66.25,67.7,881769.0,0.0,1.0,66.32,67.79,66.25,67.7,881769.0
