Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,71.53,73.15,71.0,71.66,4147718.0,0.0,1.0,71.53,73.15,71.0,71.66,4147718.0
2018-03-26,70.6,71.04,69.94,70.45,5806025.0,0.0,1.0,70.6,71.04,69.94,70.45,5806025.0
2018-03-23,71.35,71.6,69.31,69.32,3889989.0,0.0,1.0,71.35,71.6,69.31,69.32,3889989.0
2018-03-22,72.74,72.82,71.33,71.34,3245296.0,0.0,1.0,72.74,72.82,71.33,71.34,3245296.0
2018-03-21,74.03,74.71,72.73,73.32,2843690.0,0.0,1.0,74.03,74.71,72.73,73.32,2843690.0
2018-03-20,74.9,75.49,74.78,75.15,1743212.0,0.0,1.0,74.9,75.49,74.78,75.15,1743212.0
2018-03-19,74.75,75.28,74.45,75.05,2517838.0,0.0,1.0,74.75,75.28,74.45,75.05,2517838.0
2018-03-16,74.77,75.17,74.49,75.05,1989325.0,0.0,1.0,74.77,75.17,74.49,75.05,1989325.0
2018-03-15,74.19,75.3141,73.92,74.77,1960177.0,0.0,1.0,74.19,75.3141,73.92,74.77,1960177.0
2018-03-14,74.0,74.55,73.24,73.9,3294298.0,0.0,1.0,74.0,74.55,73.24,73.9,3294298.0
2018-03-13,75.87,76.15,73.44,73.86,3144011.0,0.0,1.0,75.87,76.15,73.44,73.86,3144011.0
2018-03-12,76.6,77.0,75.45,75.63,3269947.0,0.0,1.0,76.6,77.0,75.45,75.63,3269947.0
2018-03-09,76.61,77.01,75.1,76.47,3056652.0,0.0,1.0,76.61,77.01,75.1,76.47,3056652.0
2018-03-08,74.6,77.15,74.28,76.62,5745327.0,0.0,1.0,74.6,77.15,74.28,76.62,5745327.0
2018-03-07,71.75,73.36,71.68,73.04,2308152.0,0.0,1.0,71.75,73.36,71.68,73.04,2308152.0
2018-03-06,72.03,72.93,71.88,72.64,2456839.0,0.0,1.0,72.03,72.93,71.88,72.64,2456839.0
2018-03-05,71.18,71.82,69.93,71.57,1873720.0,0.0,1.0,71.18,71.82,69.93,71.57,1873720.0
2018-03-02,70.0,71.63,69.26,71.51,3074699.0,0.0,1.0,70.0,71.63,69.26,71.51,3074699.0
2018-03-01,72.5,72.83,70.6,70.85,2900358.0,0.0,1.0,72.5,72.83,70.6,70.85,2900358.0
2018-02-28,73.29,73.76,72.81,72.81,2377550.0,0.0,1.0,73.29,73.76,72.81,72.81,2377550.0
2018-02-27,74.2,74.3201,73.02,73.04,2613324.0,0.0,1.0,74.2,74.3201,73.02,73.04,2613324.0
2018-02-26,74.57,74.85,73.95,73.95,2094261.0,0.0,1.0,74.57,74.85,73.95,73.95,2094261.0
2018-02-23,73.42,74.33,73.35,74.33,1784080.0,0.0,1.0,73.42,74.33,73.35,74.33,1784080.0
2018-02-22,75.04,75.38,72.48,72.95,4251535.0,0.0,1.0,75.04,75.38,72.48,72.95,4251535.0
2018-02-21,75.22,76.17,75.01,75.06,1983802.0,0.0,1.0,75.22,76.17,75.01,75.06,1983802.0
2018-02-20,74.32,75.2745,74.15,75.04,2330296.0,0.0,1.0,74.32,75.2745,74.15,75.04,2330296.0
2018-02-16,74.91,75.81,74.62,75.02,1837860.0,0.0,1.0,74.91,75.81,74.62,75.02,1837860.0
2018-02-15,75.29,75.71,74.38,74.84,2279429.0,0.0,1.0,75.29,75.71,74.38,74.84,2279429.0
2018-02-14,72.67,74.81,72.61,74.45,2756244.0,0.0,1.0,72.67,74.81,72.61,74.45,2756244.0
2018-02-13,71.6,73.25,71.6,73.15,4143476.0,0.0,1.0,71.6,73.25,71.6,73.15,4143476.0
2018-02-12,71.85,72.59,70.93,71.54,2800667.0,0.0,1.0,71.85,72.59,70.93,71.54,2800667.0
2018-02-09,71.4,71.62,68.13,71.0,6185109.0,0.0,1.0,71.4,71.62,68.13,71.0,6185109.0
2018-02-08,74.1,74.2299,70.87,70.99,4676336.0,0.0,1.0,74.1,74.2299,70.87,70.99,4676336.0
2018-02-07,74.26,74.731,73.2,73.43,3767917.0,0.0,1.0,74.26,74.731,73.2,73.43,3767917.0
2018-02-06,71.1,74.4,70.55,74.11,5964797.0,0.0,1.0,71.1,74.4,70.55,74.11,5964797.0
2018-02-05,74.69,75.49,71.94,72.38,6091265.0,0.0,1.0,74.69,75.49,71.94,72.38,6091265.0
2018-02-02,76.71,77.02,75.1,75.18,3748800.0,0.0,1.0,76.71,77.02,75.1,75.18,3748800.0
2018-02-01,77.64,79.28,77.2,78.21,4566408.0,0.0,1.0,77.64,79.28,77.2,78.21,4566408.0
2018-01-31,78.96,79.22,77.14,77.52,4870264.0,0.0,1.0,78.96,79.22,77.14,77.52,4870264.0
2018-01-30,78.4,79.59,77.9,78.38,6918364.0,0.0,1.0,78.4,79.59,77.9,78.38,6918364.0
2018-01-29,75.27,79.84,75.13,79.03,8786588.0,0.0,1.0,75.27,79.84,75.13,79.03,8786588.0
2018-01-26,75.81,76.085,74.52,75.5,7805256.0,0.0,1.0,75.81,76.085,74.52,75.5,7805256.0
2018-01-25,77.09,77.5,74.7,75.36,6973971.0,0.0,1.0,77.09,77.5,74.7,75.36,6973971.0
