Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,77.49,78.72,76.97,77.75,1162839.0,0.0,1.0,77.49,78.72,76.97,77.75,1162839.0
2018-03-26,75.14,76.68,74.58,76.66,1030255.0,0.0,1.0,75.14,76.68,74.58,76.66,1030255.0
2018-03-23,77.19,77.49,74.265,74.6,1068219.0,0.0,1.0,77.19,77.49,74.265,74.6,1068219.0
2018-03-22,77.83,78.48,76.65,77.0,1009637.0,0.0,1.0,77.83,78.48,76.65,77.0,1009637.0
2018-03-21,77.69,79.15,77.69,78.29,956978.0,0.0,1.0,77.69,79.15,77.69,78.29,956978.0
2018-03-20,77.54,78.03,76.76,77.88,975422.0,0.0,1.0,77.54,78.03,76.76,77.88,975422.0
2018-03-19,76.8,77.46,76.12,76.86,1370807.0,0.0,1.0,76.8,77.46,76.12,76.86,1370807.0
2018-03-16,76.18,77.47,76.16,76.83,1594037.0,0.0,1.0,76.18,77.47,76.16,76.83,1594037.0
2018-03-15,76.4,77.14,75.71,75.87,1924053.0,0.0,1.0,76.4,77.14,75.71,75.87,1924053.0
2018-03-14,76.13,77.27,75.72,76.23,1051894.0,0.0,1.0,76.13,77.27,75.72,76.23,1051894.0
2018-03-13,76.01,76.72,75.67,76.14,662877.0,0.0,1.0,76.01,76.72,75.67,76.14,662877.0
2018-03-12,75.84,76.28,75.08,75.81,866272.0,0.0,1.0,75.84,76.28,75.08,75.81,866272.0
2018-03-09,74.86,75.82,74.805,75.49,741614.0,0.0,1.0,74.86,75.82,74.805,75.49,741614.0
2018-03-08,75.0,75.24,73.79,74.75,1108131.0,0.0,1.0,75.0,75.24,73.79,74.75,1108131.0
2018-03-07,73.23,74.87,72.89,74.75,1466272.0,0.0,1.0,73.23,74.87,72.89,74.75,1466272.0
2018-03-06,74.13,74.445,72.765,73.99,1258373.0,0.0,1.0,74.13,74.445,72.765,73.99,1258373.0
2018-03-05,72.87,74.45,72.22,74.09,948925.0,0.0,1.0,72.87,74.45,72.22,74.09,948925.0
2018-03-02,71.91,73.59,71.23,72.99,950141.0,0.0,1.0,71.91,73.59,71.23,72.99,950141.0
2018-03-01,72.17,73.04,71.07,71.88,813112.0,0.0,1.0,72.17,73.04,71.07,71.88,813112.0
2018-02-28,73.23,74.04,72.27,72.3,874398.0,0.0,1.0,73.23,74.04,72.27,72.3,874398.0
2018-02-27,74.22,74.94,73.02,73.07,739757.0,0.0,1.0,74.22,74.94,73.02,73.07,739757.0
2018-02-26,72.29,74.5,71.88,74.0,1059416.0,0.0,1.0,72.29,74.5,71.88,74.0,1059416.0
2018-02-23,71.75,73.01,71.16,72.94,1203501.0,0.0,1.0,71.75,73.01,71.16,72.94,1203501.0
2018-02-22,71.52,72.36,71.25,71.56,788449.0,0.0,1.0,71.52,72.36,71.25,71.56,788449.0
2018-02-21,72.01,72.37,71.09,71.14,903504.0,0.0,1.0,72.01,72.37,71.09,71.14,903504.0
2018-02-20,71.78,73.08,71.15,71.86,999768.0,0.0,1.0,71.78,73.08,71.15,71.86,999768.0
2018-02-16,72.67,72.95,71.57,72.12,1306290.0,0.0,1.0,72.67,72.95,71.57,72.12,1306290.0
2018-02-15,73.25,73.61,71.63,72.6,1576716.0,0.0,1.0,73.25,73.61,71.63,72.6,1576716.0
2018-02-14,74.73,75.275,72.83,73.25,1375143.0,0.0,1.0,74.73,75.275,72.83,73.25,1375143.0
2018-02-13,76.0,79.31,72.24,75.46,3620020.0,0.0,1.0,76.0,79.31,72.24,75.46,3620020.0
2018-02-12,78.53,79.18,77.2,78.39,1577855.0,0.0,1.0,78.53,79.18,77.2,78.39,1577855.0
2018-02-09,78.3,79.21,76.21,78.44,1436813.0,0.0,1.0,78.3,79.21,76.21,78.44,1436813.0
2018-02-08,81.47,82.069,77.92,77.99,1451631.0,0.0,1.0,81.47,82.069,77.92,77.99,1451631.0
2018-02-07,82.06,83.48,81.44,81.66,1872874.0,0.0,1.0,82.06,83.48,81.44,81.66,1872874.0
2018-02-06,79.5,83.87,79.06,82.43,3331035.0,0.0,1.0,79.5,83.87,79.06,82.43,3331035.0
2018-02-05,89.98,89.98,86.398,87.59,1422816.0,0.0,1.0,89.98,89.98,86.398,87.59,1422816.0
2018-02-02,90.79,91.84,89.84,90.63,1091438.0,0.0,1.0,90.79,91.84,89.84,90.63,1091438.0
2018-02-01,91.46,92.68,90.81,91.48,758059.0,0.0,1.0,91.46,92.68,90.81,91.48,758059.0
2018-01-31,91.8,92.81,90.57,91.36,1009230.0,0.0,1.0,91.8,92.81,90.57,91.36,1009230.0
2018-01-30,88.96,91.66,88.96,91.03,851567.0,0.0,1.0,88.96,91.66,88.96,91.03,851567.0
2018-01-29,92.19,93.01,91.66,91.79,1715989.0,0.0,1.0,92.19,93.01,91.66,91.79,1715989.0
2018-01-26,92.25,93.6,91.66,92.49,979535.0,0.0,1.0,92.25,93.6,91.66,92.49,979535.0
2018-01-25,92.23,93.05,90.85,92.06,559864.0,0.0,1.0,92.23,93.05,90.85,92.06,559864.0
2018-01-24,92.85,93.55,91.73,92.0,686575.0,0.0,1.0,92.85,93.55,91.73,92.0,686575.0
2018-01-23,91.93,92.53,91.45,92.27,782652.0,0.0,1.0,91.93,92.53,91.45,92.27,782652.0
2018-01-22,91.63,92.38,90.56,91.97,1423930.0,0.0,1.0,91.63,92.38,90.56,91.97,1423930.0
2018-01-19,93.6,93.98,91.33,91.83,1657246.0,0.0,1.0,93.6,93.98,91.33,91.83,1657246.0
2018-01-18,91.62,93.85,91.59,93.77,1636583.0,0.0,1.0,91.62,93.85,91.59,93.77,1636583.0
2018-01-17,89.71,92.41,88.955,91.97,1992585.0,0.0,1.0,89.71,92.41,88.955,91.97,1992585.0
2018-01-16,87.79,91.34,87.66,89.63,2260164.0,0.0,1.0,87.79,91.34,87.66,89.63,2260164.0
2018-01-12,84.72,85.995,84.61,85.82,740839.0,0.0,1.0,84.72,85.995,84.61,85.82,740839.0
2018-01-11,85.37,86.17,84.16,84.41,1049920.0,0.0,1.0,85.37,86.17,84.16,84.41,1049920.0
2018-01-10,82.86,85.2,80.36,85.06,2557439.0,0.0,1.0,82.86,85.2,80.36,85.06,2557439.0
2018-01-09,83.32,86.39,83.16,85.66,2119028.0,0.0,1.0,83.32,86.39,83.16,85.66,2119028.0
2018-01-08,80.6,83.02,79.77,82.73,1785695.0,0.0,1.0,80.6,83.02,79.77,82.73,1785695.0
2018-01-05,77.98,80.65,77.91,80.59,888389.0,0.0,1.0,77.98,80.65,77.91,80.59,888389.0
2018-01-04,77.65,78.19,77.28,77.64,542116.0,0.0,1.0,77.65,78.19,77.28,77.64,542116.0
2018-01-03,77.91,77.91,76.28,77.17,845584.0,0.0,1.0,77.91,77.91,76.28,77.17,845584.0
2018-01-02,76.68,78.14,76.39,78.0,971359.0,0.0,1.0,76.68,78.14,76.39,78.0,971359.0
2017-12-29,78.34,78.5,76.66,76.68,413532.0,0.0,1.0,78.34,78.5,76.66,76.68,413532.0
2017-12-28,77.71,78.4808,77.24,77.9,540966.0,0.0,1.0,77.71,78.4808,77.24,77.9,540966.0
2017-12-27,76.06,78.17,76.01,77.42,567641.0,0.0,1.0,76.06,78.17,76.01,77.42,567641.0
2017-12-26,74.21,76.15,74.18,75.86,462494.0,0.0,1.0,74.21,76.15,74.18,75.86,462494.0
2017-12-22,74.84,75.45,73.61,74.03,710708.0,0.0,1.0,74.84,75.45,73.61,74.03,710708.0
2017-12-21,78.29,78.54,74.81,75.28,1384121.0,0.0,1.0,78.29,78.54,74.81,75.28,1384121.0
2017-12-20,78.33,79.85,77.07,78.4,2206931.0,0.0,1.0,78.33,79.85,77.07,78.4,2206931.0
2017-12-19,76.71,77.16,75.84,76.51,1537578.0,0.0,1.0,76.71,77.16,75.84,76.51,1537578.0
2017-12-18,76.24,76.75,74.75,76.66,1349005.0,0.0,1.0,76.24,76.75,74.75,76.66,1349005.0
2017-12-15,75.13,76.97,74.53,76.27,1701687.0,0.0,1.0,75.13,76.97,74.53,76.27,1701687.0
2017-12-14,74.34,75.16,73.9701,74.57,1168697.0,0.0,1.0,74.34,75.16,73.9701,74.57,1168697.0
2017-12-13,74.03,75.3,73.33,75.09,1184047.0,0.0,1.0,74.03,75.3,73.33,75.09,1184047.0
2017-12-12,73.88,74.46,73.38,74.08,1288510.0,0.0,1.0,73.88,74.46,73.38,74.08,1288510.0
2017-12-11,75.32,75.74,73.47,73.83,846277.0,0.0,1.0,75.32,75.74,73.47,73.83,846277.0
2017-12-08,74.37,75.71,73.97,75.11,905423.0,0.0,1.0,74.37,75.71,73.97,75.11,905423.0
2017-12-07,74.64,75.235,73.12,74.46,2624031.0,0.0,1.0,74.64,75.235,73.12,74.46,2624031.0
2017-12-06,76.68,76.905,74.22,74.29,818947.0,0.0,1.0,76.68,76.905,74.22,74.29,818947.0
2017-12-05,77.53,78.11,76.51,76.51,472616.0,0.0,1.0,77.53,78.11,76.51,76.51,472616.0
2017-12-04,79.0,80.74,76.87,77.48,1395247.0,0.0,1.0,79.0,80.74,76.87,77.48,1395247.0
2017-12-01,78.4,78.99,75.39,78.11,920660.0,0.0,1.0,78.4,78.99,75.39,78.11,920660.0
2017-11-30,77.72,79.82,77.65,78.24,1800272.0,0.0,1.0,77.72,79.82,77.65,78.24,1800272.0
2017-11-29,74.92,77.82,74.92,77.37,1211762.0,0.0,1.0,74.92,77.82,74.92,77.37,1211762.0
2017-11-28,75.35,75.51,74.01,74.99,1191749.0,0.0,1.0,75.35,75.51,74.01,74.99,1191749.0
2017-11-27,75.0,75.76,74.64,75.08,864595.0,0.0,1.0,75.0,75.76,74.64,75.08,864595.0
2017-11-24,75.0,75.58,74.295,75.08,329407.0,0.0,1.0,75.0,75.58,74.295,75.08,329407.0
2017-11-22,74.91,76.62,74.68,75.46,777107.0,0.0,1.0,74.91,76.62,74.68,75.46,777107.0
