A,"Agilent Technologies",140.89
AAL,"American Airlines Gp",14.11
AAP,"Advance Auto Parts Inc",189.28
AAPL,"Apple Inc",150.65
ABBV,"Abbvie Inc",146.91
ABC,"Amerisourcebergen Corp",156.32
ABMD,"Abiomed Inc",377.82
ABT,"Abbott Laboratories",99.31
ACN,"Accenture Plc",281.47
ADBE,"Adobe Systems Inc",316.02
ADI,"Analog Devices",144.7
ADM,"Archer Daniels Midland",97.53
ADP,"Automatic Data Procs",243.64
ADSK,"Autodesk Inc",214.05
AEE,"Ameren Corp",82.12
AEP,"American Electric Power Company",88.53
AES,"The Aes Corp",26.34
AFL,"Aflac Inc",66.81
AIG,"American International Group",57.07
AIZ,"Assurant Inc",134.7
AJG,"Arthur J. Gallagher & Company",187.42
AKAM,"Akamai Technologies",88.1
ALB,"Albemarle Corp",279
ALGN,"Align Technology",193.06
ALK,"Alaska Air Group",44.52
ALL,"Allstate Corp",125.75
ALLE,"Allegion Plc",106.56
AMAT,"Applied Materials",89.79
AMCR,"Amcor Plc",11.59
AMD,"Adv Micro Devices",59.66
AME,"Ametek Inc",132.03
AMGN,"Amgen Inc",272.06
AMP,"Ameriprise Financial Services",314.12
AMT,"American Tower Corp",207.88
AMZN,"Amazon.com Inc",96.79
ANET,"Arista Networks Inc",127.71
ANSS,"Ansys Inc",219.24
AON,"AON Plc",284.49
AOS,"Smith A.O. Corp",54.6
APA,"Apa Corp",45.79
APD,"Air Products and Chemicals",252.12
APH,"Amphenol Corp",76.77
APTV,"Aptiv Plc",91.59
ARE,"Alexandria Real Estate Equities",144.76
ATO,"Atmos Energy Corp",106.27
ATVI,"Activision Blizzard",73.31
AVB,"Avalonbay Communities",175.29
AVGO,"Broadcom Ltd",467.9
AVY,"Avery Dennison Corp",168.78
AWK,"American Water Works",141.84
AXP,"American Express Company",147.08
AZO,Autozone,2535
BA,"Boeing Company",143.38
BAC,"Bank of America Corp",36.2
BALL,"Ball Corporation",49.46
BAX,"Baxter International Inc",53.74
BBWI,"Bath & Body Works Inc",34.16
BBY,"Best Buy Company",68.88
BDX,"Becton Dickinson and Company",233.88
BEN,"Franklin Resources",22.6
BF.B,"Brown Forman Inc Cl B",67.44
BIIB,"Biogen Inc",280.04
BIO,"Bio-Rad Laboratories",358.35
BK,"Bank of New York Mellon Corp",42.23
BKNG,"Booking Holdings Inc",1889.52
BKR,"Baker Hughes A Ge Co. Cl A",28.5
BLK,"Blackrock Inc",652
BMY,"Bristol-Myers Squibb Company",77.7
BR,"Broadridge Financial Solutions Llc",149.6
BRK.B,"Berkshire Hathaway Cl B",294.13
BRO,"Brown & Brown",58.65
BSX,"Boston Scientific Corp",42.76
BWA,"Borgwarner Inc",37.31
